400
9
SA101
SA102
SA103
SA201
SA202
SA203
SA301
SA302
SA303
6
Psicologia
Clinico Geral
Cardiologista
Otorrino
Psiquiatra
Endócrino
3
Médico1
Médico2
Médico3
2
Médico4
Médico5
2
Médico6
Médico7
1
Médico8
2
Médico9
Médico10
3
Médico11
Médico12
Médico13

Lucas,75449,(88) 95813-4996,38,118,1,81.50,1.36,Ibuprofeno,náusea
Pedro,19595,(88) 98131-8460,0,296,3,106.03,1.53,Antialérgico,dor de cabeça
Beatriz,27949,(88) 92196-8596,16,135,2,50.51,1.78,Ibuprofeno,tosse
Ana,84025,(88) 94160-7898,78,57,0,115.79,1.68,Dipirona,tosse
João,35194,(88) 94983-4896,40,142,3,40.48,1.95,Amoxicilina,tosse
Beatriz,53122,(88) 98872-2699,75,240,3,102.11,1.35,Omeprazol,dor muscular
Pedro,69312,(88) 95662-9610,37,319,2,114.60,1.38,Amoxicilina,náusea
Pedro,11732,(88) 94732-5406,42,257,5,60.71,1.33,Paracetamol,dor abdominal
Ricardo,80994,(88) 93226-7035,40,292,4,76.59,1.24,Omeprazol,dor abdominal
Pedro,81439,(88) 95010-8320,5,377,2,99.77,1.83,Antialérgico,cansaço
Lucas,94841,(88) 97397-9453,37,301,0,36.70,1.28,Dipirona,dor muscular
Sofia,10018,(88) 98041-5426,32,47,4,119.03,1.75,Omeprazol,cansaço
Pedro,25818,(88) 99216-2788,14,335,4,32.41,1.49,Omeprazol,dor de cabeça
Beatriz,19310,(88) 97018-3855,76,106,5,91.68,1.67,Omeprazol,dor muscular
Sofia,11845,(88) 97890-2826,44,45,2,76.69,1.69,Antialérgico,cansaço
Pedro,49553,(88) 91352-2762,25,60,5,58.78,1.32,Omeprazol,dor abdominal
João,15274,(88) 93820-6454,21,86,2,73.14,1.88,Antialérgico,febre
Ana,78084,(88) 95906-4200,41,274,3,35.01,1.66,Omeprazol,cansaço
Fernanda,72123,(88) 93541-7669,20,87,4,72.51,1.55,Dipirona,náusea
Beatriz,99791,(88) 98746-1163,21,295,0,87.14,1.66,Ibuprofeno,tosse
Maria,68883,(88) 99115-6902,96,253,5,118.16,1.63,Dipirona,dor muscular
Beatriz,69501,(88) 98759-2472,32,271,1,47.64,1.69,Ibuprofeno,cansaço
Ricardo,86874,(88) 92797-1279,70,12,0,77.30,1.39,Omeprazol,tosse
Pedro,51470,(88) 92338-5952,8,40,0,35.96,1.41,Dipirona,náusea
Fernanda,38681,(88) 93851-4048,52,23,0,57.63,1.91,Omeprazol,dor muscular
Sofia,12950,(88) 91672-4440,75,68,1,97.64,1.91,Dipirona,náusea
Maria,11859,(88) 94946-6699,61,48,0,79.68,1.28,Antialérgico,dor abdominal
Sofia,50240,(88) 96929-9852,11,194,5,66.92,1.63,Omeprazol,náusea
Pedro,41128,(88) 96203-4521,81,6,3,94.37,1.69,Ibuprofeno,dor abdominal
João,69538,(88) 92699-8391,46,326,2,41.30,1.74,Ibuprofeno,cansaço
Carlos,36079,(88) 94914-1302,1,208,0,114.43,1.86,Amoxicilina,dor abdominal
Fernanda,55257,(88) 96562-1142,16,344,4,49.22,1.44,Ibuprofeno,dor muscular
Ana,75702,(88) 97868-1257,21,136,0,34.52,1.26,Antialérgico,tosse
Ana,38937,(88) 94008-3987,59,345,4,63.35,1.43,Omeprazol,dor de cabeça
Ana,66336,(88) 91461-9774,56,192,3,67.63,1.42,Amoxicilina,cansaço
Lucas,39817,(88) 93520-9829,24,166,4,110.07,1.30,Amoxicilina,febre
Ana,95099,(88) 91592-5506,19,66,4,86.77,1.29,Amoxicilina,tosse
Pedro,33803,(88) 98613-3427,5,113,3,116.29,1.74,Amoxicilina,cansaço
Maria,89108,(88) 96789-3259,96,336,2,78.52,1.65,Amoxicilina,cansaço
João,59932,(88) 97610-7720,39,32,4,91.42,1.62,Ibuprofeno,cansaço
Maria,73898,(88) 94913-9371,29,95,5,41.08,1.47,Antialérgico,dor de cabeça
Pedro,63493,(88) 91453-9317,92,93,4,31.64,1.85,Antialérgico,febre
João,90044,(88) 94744-8681,99,309,5,87.07,1.26,Dipirona,dor muscular
Sofia,58565,(88) 92630-2183,80,247,5,119.33,1.34,Paracetamol,dor muscular
Sofia,94066,(88) 99489-7725,8,230,4,108.61,1.24,Antialérgico,febre
Fernanda,95270,(88) 93787-8938,43,39,1,30.50,1.93,Paracetamol,dor muscular
Sofia,59264,(88) 94984-9664,69,279,0,84.84,1.31,Amoxicilina,náusea
Beatriz,84099,(88) 99297-5880,100,312,1,63.18,1.49,Omeprazol,cansaço
Maria,78838,(88) 94561-9079,39,291,4,114.03,1.79,Paracetamol,febre
Lucas,86913,(88) 92310-3190,59,244,1,74.09,1.59,Dipirona,náusea
Beatriz,49493,(88) 93819-9769,99,208,3,114.20,1.59,Dipirona,dor de cabeça
Carlos,79057,(88) 98088-2211,52,243,3,39.34,1.40,Dipirona,tosse
Beatriz,26746,(88) 96525-9295,28,317,0,41.73,1.34,Amoxicilina,dor abdominal
Ana,77999,(88) 95777-7111,47,316,3,58.83,1.63,Antialérgico,tosse
Lucas,96692,(88) 94639-2460,35,265,5,99.69,1.78,Omeprazol,dor abdominal
Maria,67576,(88) 92514-5064,80,389,0,81.93,1.40,Amoxicilina,febre
João,71382,(88) 95992-2933,80,219,1,41.23,1.21,Ibuprofeno,tosse
Maria,65981,(88) 99902-4837,6,193,5,104.51,1.58,Amoxicilina,cansaço
João,46498,(88) 98328-4292,6,54,5,94.59,1.64,Ibuprofeno,náusea
Lucas,99559,(88) 99529-3594,4,278,4,49.77,1.47,Amoxicilina,febre
Maria,62218,(88) 97301-4692,1,43,3,115.08,1.83,Dipirona,dor muscular
Ana,67870,(88) 95937-6611,8,14,3,61.32,1.65,Ibuprofeno,cansaço
João,51238,(88) 96365-8718,79,362,0,70.33,1.53,Ibuprofeno,tosse
Maria,98720,(88) 92658-3256,22,92,1,37.66,1.51,Amoxicilina,febre
Fernanda,96116,(88) 92387-1594,90,11,5,52.62,1.75,Paracetamol,cansaço
Ricardo,67653,(88) 92614-3319,50,7,5,64.30,1.70,Dipirona,náusea
Carlos,34772,(88) 94104-4112,8,318,1,48.58,1.66,Antialérgico,febre
Carlos,48946,(88) 92079-7319,97,109,0,94.11,1.56,Dipirona,febre
Maria,22729,(88) 92763-1499,49,194,1,43.52,1.86,Paracetamol,dor muscular
Fernanda,56526,(88) 96122-1414,61,97,4,41.14,1.33,Antialérgico,cansaço
Ricardo,39246,(88) 93082-1765,23,337,4,69.26,1.45,Paracetamol,cansaço
Beatriz,46095,(88) 98522-9726,85,42,0,89.37,1.98,Amoxicilina,dor de cabeça
Lucas,64683,(88) 91829-1284,9,392,4,38.37,1.54,Paracetamol,cansaço
Maria,12626,(88) 92551-5632,77,150,0,75.86,1.99,Paracetamol,tosse
Lucas,64815,(88) 92737-8811,24,44,5,73.75,1.44,Paracetamol,cansaço
Maria,88407,(88) 98416-1378,97,169,2,103.53,1.79,Omeprazol,náusea
Ana,67146,(88) 92511-2553,33,87,4,106.19,1.70,Paracetamol,náusea
João,48185,(88) 98362-3137,48,306,5,109.56,1.84,Dipirona,febre
Fernanda,32295,(88) 92956-4973,49,182,0,48.08,1.59,Paracetamol,cansaço
Ricardo,75070,(88) 95609-2751,75,269,2,64.36,1.30,Dipirona,dor de cabeça
Ana,53729,(88) 95770-9327,75,310,1,65.99,1.32,Omeprazol,cansaço
Fernanda,52075,(88) 92433-8244,27,364,5,54.53,1.53,Ibuprofeno,náusea
Lucas,60965,(88) 95049-2599,58,326,3,54.66,1.88,Paracetamol,náusea
Beatriz,52947,(88) 96080-7650,82,257,2,99.38,1.68,Antialérgico,dor abdominal
Lucas,17068,(88) 95073-7184,100,229,2,48.29,1.52,Omeprazol,dor abdominal
João,13844,(88) 94971-7620,63,9,1,109.51,1.56,Amoxicilina,febre
Fernanda,44385,(88) 95361-7980,22,185,2,62.30,1.26,Amoxicilina,tosse
